result,b,g,r
5,254,255,255
5,205,250,255
5,213,239,255
5,213,239,255
5,181,228,255
5,170,232,238
5,185,218,255
5,140,230,240
5,107,183,189
5,0,255,255
5,0,128,128
5,47,255,173
5,50,205,154
5,102,255,255
5,51,255,255
5,0,204,204
5,0,153,153
5,0,102,102
5,0,51,51
0,255,255,255
0,250,250,255
0,240,255,240
0,250,255,245
0,255,255,240
0,255,248,240
0,255,248,248
0,245,245,245
0,238,245,255
0,220,245,245
0,230,245,253
0,240,250,255
0,240,255,255
0,215,235,250
0,230,240,250
0,245,240,255
0,225,228,255
0,173,222,255
1,0,0,0
1,2,1,51
1,1,25,50
1,2,51,51
1,0,40,0
1,2,2,2
1,15,19,12
1,9,23,30
1,12,39,12
1,0,3,0
1,1,0,1
1,15,3,2
1,10,10,10
1,30,6,22
1,9,8,11
1,30,10,9
1,1,22,20
1,22,39,4
1,2,3,40
1,0,24,2
2,203,192,255
2,225,228,255
2,193,182,255
2,180,105,255
2,147,112,219
2,147,20,255
2,225,228,255
2,230,221,253
2,244,221,225
2,221,218,250
2,241,207,255
2,231,204,251
2,204,293,255
2,217,188,255
2,194,194,244
2,190,191,247
2,193,182,255
2,215,204,232
2,201,204,229
2,164,165,222
2,169,143,243
2,172,143,230
3,122,150,233
3,128,128,240
3,92,92,205
3,60,20,220
3,34,34,178
3,0,0,255
3,0,0,139
3,0,0,128
3,71,99,255
3,0,69,255
3,147,112,219
3,97,105,255
3,94,111,254
3,122,113,228
3,94,111,254
3,113,103,230
3,83,94,253
3,64,64,255
3,71,91,255
3,94,53,255
4,0,165,255
4,213,239,255
4,185,218,255
4,80,127,255
4,0,140,255
4,185,218,255
4,177,206,251
4,177,213,253
4,164,203,255
4,153,204,255
4,120,184,248
4,96,171,251
4,91,114,226
4,60,141,224
4,45,135,237
4,29,90,254
4,44,105,233
4,33,145,237
4,2,153,251
4,0,88,253
6,0,128,0
6,152,251,152
6,144,238,144
6,143,188,143
6,170,205,102
6,47,255,173
6,0,255,0
6,127,255,0
6,0,255,127
6,50,205,50
6,254,250,0
6,0,252,124
6,113,179,60
6,87,139,46
6,34,139,34
6,0,100,0
6,219,255,233
6,189,235,236
6,188,228,216
6,138,184,188
7,255,0,0
7,230,216,173
7,22,196,176
7,250,206,135
7,235,206,135
7,237,149,100
7,255,144,30
7,255,191,0
7,180,130,70
7,205,0,0
7,139,0,0
7,112,25,25
7,255,254,231
7,230,212,188
7,239,205,171
7,241,202,161
7,250,206,135
7,207,198,174
7,221,186,153
7,214,190,140
8,128,0,128
8,250,230,230
8,216,191,216
8,221,160,221
8,216,191,123
8,219,112,147
8,205,90,106
8,211,85,186
8,226,43,138
8,204,50,153
8,211,0,148
8,139,61,72
8,130,0,75
8,255,208,220
8,221,202,214
8,239,145,216
8,238,104,123
8,181,158,179
8,195,120,136
8,204,102,153
9,128,128,128
9,220,220,220
9,213,215,211
9,191,190,192
9,153,136,119
9,144,128,112
9,105,105,105
9,144,128,112
9,236,240,244
9,226,228,229
9,236,240,244
9,220,220,220
9,210,215,219
9,201,218,227
9,211,211,211
9,208,195,196
9,196,207,207
9,187,192,201
9,181,190,178
9,173,174,196
9,96,94,126
9,120,104,83
9,108,10,74
10,42,42,165
10,196,228,255
10,181,228,225
10,135,184,222
10,140,180,210
10,143,143,188
10,63,133,205
10,45,82,160
10,19,69,139
10,30,105,210
10,168,190,209
10,136,179,222
10,122,150,233
10,145,176,195
10,117,149,205
10,128,178,194
10,126,152,188
10,107,154,193
10,89,135,186
10,91,123,166
10,90,120,160
6,40,107,101
6,32,99,94
6,40,113,110
6,55,125,124
6,17,103,97
6,17,56,58
6,41,102,102
6,82,166,167
6,43,110,105
10,82,121,170
5,103,183,250
0,182,236,254
4,29,118,204
9,109,143,169
5,103,190,255
6,62,131,133
10,44,80,116
10,16,65,117
1,44,54,75
4,7,110,203
10,50,88,128
10,12,63,114
10,61,85,125
10,41,85,125
10,24,56,94
7,87,94,57
10,46,57,78
